stage,step,tau,sigma_tau,mse_x1,task,image,method
1,1,0.111,nan,0.068020761013031,box_inpainting,ibex_horns,model
1,2,0.222,nan,0.0678573027253151,box_inpainting,ibex_horns,model
1,3,0.333,nan,0.0698520839214325,box_inpainting,ibex_horns,model
1,4,0.444,nan,0.07213813811540604,box_inpainting,ibex_horns,model
1,5,0.555,nan,0.0766024962067604,box_inpainting,ibex_horns,model
1,6,0.666,nan,0.08185284584760666,box_inpainting,ibex_horns,model
1,7,0.777,nan,0.0853925570845604,box_inpainting,ibex_horns,model
1,8,0.888,nan,0.0874200314283371,box_inpainting,ibex_horns,model
1,9,0.999,nan,0.0900699719786644,box_inpainting,ibex_horns,model
2,0,0.0,nan,0.09221814572811127,box_inpainting,ibex_horns,model
2,1,0.111,nan,0.0973108634352684,box_inpainting,ibex_horns,model
2,2,0.222,nan,0.10031788796186447,box_inpainting,ibex_horns,model
2,3,0.333,nan,0.10258595645427704,box_inpainting,ibex_horns,model
2,4,0.444,nan,0.10486549139022827,box_inpainting,ibex_horns,model
2,5,0.555,nan,0.10724552720785141,box_inpainting,ibex_horns,model
2,6,0.666,nan,0.10915142297744751,box_inpainting,ibex_horns,model
2,7,0.777,nan,0.11202982068061829,box_inpainting,ibex_horns,model
2,8,0.888,nan,0.11541116237640381,box_inpainting,ibex_horns,model
2,9,0.999,nan,0.11874072253704071,box_inpainting,ibex_horns,model
3,0,0.0,nan,0.11858521401882172,box_inpainting,ibex_horns,model
3,1,0.111,nan,0.11763360351324081,box_inpainting,ibex_horns,model
3,2,0.222,nan,0.117875836789608,box_inpainting,ibex_horns,model
3,3,0.333,nan,0.11829982697963715,box_inpainting,ibex_horns,model
3,4,0.444,nan,0.11901640892028809,box_inpainting,ibex_horns,model
3,5,0.555,nan,0.11928405612707138,box_inpainting,ibex_horns,model
3,6,0.666,nan,0.11990086734294891,box_inpainting,ibex_horns,model
3,7,0.777,nan,0.12026140093803406,box_inpainting,ibex_horns,model
3,8,0.888,nan,0.12042178958654404,box_inpainting,ibex_horns,model
3,9,0.999,nan,0.12042544782161713,box_inpainting,ibex_horns,model
0,0,0.0,1.0,0.31601572036743164,box_inpainting,ibex_horns,alg2
0,1,0.111,0.9722500000000001,0.31634190678596497,box_inpainting,ibex_horns,alg2
0,2,0.222,0.9445,0.31226062774658203,box_inpainting,ibex_horns,alg2
