image,stage,step,task,tau,T,e_k,gamma2_meas,mse_alg2,mse_alg2_miss,mse_alg2_obs,mse_model,mse_model_miss,mse_model_obs,mse_wls,mse_wls_miss,mse_wls_obs,resolution,s_k,score_err,score_err_g2,sigma_tau
lakeside_beach,0,1,superresolution,0.111,19.425,0.25,0.010642001405358315,0.0035842484794557095,,,0.09246160835027695,,,7.916192054748535,,,32,0.0,7.532369636464864e-05,7.543127867393196e-05,0.9722500000000001
sea_anemone,0,1,superresolution,0.111,19.425,0.25,0.010642001405358315,0.006930372677743435,,,0.22469750046730042,,,7.931208610534668,,,32,0.0,0.0001830494002206251,0.00018301059026271105,0.9722500000000001
shetland_sheepdog,0,1,superresolution,0.111,19.425,0.25,0.010642001405358315,0.008758621290326118,,,0.12475323677062988,,,8.02775764465332,,,32,0.0,0.00010163000843022019,0.00010167551226913929,0.9722500000000001
breastplate_armor,0,2,box_inpainting,0.222,38.85,0.25,0.01062399335205555,55.553192138671875,222.20054626464844,0.004069317597895861,0.11040721833705902,0.10142149776220322,0.11340244859457016,7.682374000549316,7.5423126220703125,7.729060649871826,32,0.0,0.0003812233335338533,0.00038089638110250235,0.9445
crane_structure,0,2,box_inpainting,0.222,38.85,0.25,0.01062399335205555,53.6829948425293,214.6879119873047,0.014685351401567459,0.3360884189605713,0.26457101106643677,0.35992753505706787,8.190692901611328,7.722524166107178,8.346749305725098,32,0.0,0.0011604743776842952,0.0011610991787165403,0.9445
ibex_horns,0,2,box_inpainting,0.222,38.85,0.25,0.01062399335205555,0.3145448863506317,1.2027519941329956,0.018475797027349472,0.14829909801483154,0.15058210492134094,0.14753808081150055,7.488616466522217,8.048723220825195,7.301913738250732,32,0.0,0.0005120595451444387,0.0005125523312017322,0.9445
junco,0,2,box_inpainting,0.222,38.85,0.25,0.01062399335205555,54.1920166015625,216.7450408935547,0.007681709248572588,0.04411229491233826,0.056462306529283524,0.039995625615119934,7.387023448944092,7.14972448348999,7.466123104095459,32,0.0,0.0001523146202089265,0.00015325727872550488,0.9445
lakeside_beach,0,2,box_inpainting,0.222,38.85,0.25,0.01062399335205555,52.69567108154297,210.77894592285156,0.0012379367835819721,0.11102434247732162,0.14992040395736694,0.09805899113416672,7.929286003112793,7.800440311431885,7.972233295440674,32,0.0,0.0003833541995845735,0.00038444832898676395,0.9445
sea_anemone,0,2,box_inpainting,0.222,38.85,0.25,0.01062399335205555,0.28211578726768494,1.1138516664505005,0.004870441276580095,0.18697893619537354,0.23973892629146576,0.16939228773117065,7.885069847106934,8.086081504821777,7.818066120147705,32,0.0,0.0006456167320720851,0.0006453432142734528,0.9445
shetland_sheepdog,0,2,box_inpainting,0.222,38.85,0.25,0.01062399335205555,0.04313008114695549,0.1595345437526703,0.004328595008701086,0.124564528465271,0.1724507361650467,0.10860244929790497,8.029667854309082,7.975945949554443,8.047574043273926,32,0.0,0.0004301068256609142,0.00043076503789052367,0.9445
breastplate_armor,0,2,random_inpainting,0.222,38.85,0.25,0.01062399335205555,0.00510252034291625,0.00502873444929719,0.005262653809040785,0.11040721833705902,0.10854458063840866,0.1144496276974678,7.682374000549316,7.713326930999756,7.615196228027344,32,0.0,0.0003812233335338533,0.00038089638110250235,0.9445
crane_structure,0,2,random_inpainting,0.222,38.85,0.25,0.01062399335205555,0.020702730864286423,0.02206488326191902,0.017579849809408188,0.3360884189605713,0.33362412452697754,0.3417380452156067,8.190692901611328,8.210406303405762,8.145500183105469,32,0.0,0.0011604743776842952,0.0011610991787165403,0.9445
ibex_horns,0,2,random_inpainting,0.222,38.85,0.25,0.01062399335205555,0.028132937848567963,0.028363941237330437,0.02761773020029068,0.14829909801483154,0.1471145898103714,0.15094083547592163,7.488616466522217,7.7476630210876465,6.910869121551514,32,0.0,0.0005120595451444387,0.0005125523312017322,0.9445
junco,0,2,random_inpainting,0.222,38.85,0.25,0.01062399335205555,0.00900619849562645,0.00892779603600502,0.009189303033053875,0.04411229491233826,0.04308757930994034,0.04650554060935974,7.387023448944092,7.606430530548096,6.874596118927002,32,0.0,0.0001523146202089265,0.00015325727872550488,0.9445
lakeside_beach,0,2,random_inpainting,0.222,38.85,0.25,0.01062399335205555,0.002180414041504264,0.0018644974334165454,0.002925148466601968,0.11102434247732162,0.11234229803085327,0.1079174280166626,7.929286003112793,7.820428371429443,8.18590259552002,32,0.0,0.0003833541995845735,0.00038444832898676395,0.9445
sea_anemone,0,2,random_inpainting,0.222,38.85,0.25,0.01062399335205555,0.006145283579826355,0.006287785246968269,0.005806194618344307,0.18697893619537354,0.18743278086185455,0.1858990490436554,7.885069847106934,7.872162818908691,7.915782928466797,32,0.0,0.0006456167320720851,0.0006453432142734528,0.9445
shetland_sheepdog,0,2,random_inpainting,0.222,38.85,0.25,0.01062399335205555,0.007126364391297102,0.0069860429503023624,0.007433672435581684,0.124564528465271,0.12324146926403046,0.12746202945709229,8.029667854309082,7.975302219390869,8.148728370666504,32,0.0,0.0004301068256609142,0.00043076503789052367,0.9445
breastplate_armor,0,2,gaussian_blur,0.222,38.85,0.25,0.01062399335205555,0.005059980787336826,,,0.11040721833705902,,,7.682374000549316,,,32,0.0,0.0003812233335338533,0.00038089638110250235,0.9445
crane_structure,0,2,gaussian_blur,0.222,38.85,0.25,0.01062399335205555,0.018906032666563988,,,0.3360884189605713,,,8.190692901611328,,,32,0.0,0.0011604743776842952,0.0011610991787165403,0.9445
