task,image,stage,step,tau,T,sigma_tau,s_k,e_k,resolution,mse_wls,mse_model
box_inpainting,crane_structure,1,4,0.444,286.444,0.6985714285714286,0.14285714285714285,0.5,64,1.0910464525222778,0.04647291824221611
box_inpainting,ibex_horns,1,4,0.444,286.444,0.6985714285714286,0.14285714285714285,0.5,64,1.1243703365325928,0.08869161456823349
box_inpainting,junco,1,4,0.444,286.444,0.6985714285714286,0.14285714285714285,0.5,64,1.0753757953643799,0.03503281623125076
box_inpainting,lakeside_beach,1,4,0.444,286.444,0.6985714285714286,0.14285714285714285,0.5,64,1.0638997554779053,0.013506190851330757
box_inpainting,sea_anemone,1,4,0.444,286.444,0.6985714285714286,0.14285714285714285,0.5,64,1.0919561386108398,0.04199710488319397
box_inpainting,shetland_sheepdog,1,4,0.444,286.444,0.6985714285714286,0.14285714285714285,0.5,64,1.0603644847869873,0.035949379205703735
box_inpainting,breastplate_armor,1,5,0.555,314.30500000000006,0.6589285714285714,0.14285714285714285,0.5,64,1.086190938949585,0.021451150998473167
box_inpainting,crane_structure,1,5,0.555,314.30500000000006,0.6589285714285714,0.14285714285714285,0.5,64,1.0817763805389404,0.04196258634328842
box_inpainting,ibex_horns,1,5,0.555,314.30500000000006,0.6589285714285714,0.14285714285714285,0.5,64,1.109100103378296,0.07704427093267441
box_inpainting,junco,1,5,0.555,314.30500000000006,0.6589285714285714,0.14285714285714285,0.5,64,1.0679783821105957,0.029188930988311768
box_inpainting,lakeside_beach,1,5,0.555,314.30500000000006,0.6589285714285714,0.14285714285714285,0.5,64,1.0594526529312134,0.011961575597524643
box_inpainting,sea_anemone,1,5,0.555,314.30500000000006,0.6589285714285714,0.14285714285714285,0.5,64,1.0839755535125732,0.03527429699897766
box_inpainting,shetland_sheepdog,1,5,0.555,314.30500000000006,0.6589285714285714,0.14285714285714285,0.5,64,1.0519790649414062,0.02967049740254879
box_inpainting,breastplate_armor,1,6,0.666,342.16600000000005,0.6192857142857142,0.14285714285714285,0.5,64,1.0817580223083496,0.019032035022974014
box_inpainting,crane_structure,1,6,0.666,342.16600000000005,0.6192857142857142,0.14285714285714285,0.5,64,1.0732406377792358,0.03850317373871803
box_inpainting,ibex_horns,1,6,0.666,342.16600000000005,0.6192857142857142,0.14285714285714285,0.5,64,1.095056176185608,0.06419975310564041
box_inpainting,junco,1,6,0.666,342.16600000000005,0.6192857142857142,0.14285714285714285,0.5,64,1.0600370168685913,0.02438092604279518
box_inpainting,lakeside_beach,1,6,0.666,342.16600000000005,0.6192857142857142,0.14285714285714285,0.5,64,1.0552833080291748,0.010633870959281921
box_inpainting,sea_anemone,1,6,0.666,342.16600000000005,0.6192857142857142,0.14285714285714285,0.5,64,1.075891375541687,0.029291734099388123
box_inpainting,shetland_sheepdog,1,6,0.666,342.16600000000005,0.6192857142857142,0.14285714285714285,0.5,64,1.045446753501892,0.024959631264209747
box_inpainting,breastplate_armor,1,7,0.777,370.02700000000004,0.5796428571428571,0.14285714285714285,0.5,64,1.0774831771850586,0.016645243391394615
box_inpainting,crane_structure,1,7,0.777,370.02700000000004,0.5796428571428571,0.14285714285714285,0.5,64,1.065467357635498,0.03455371782183647
box_inpainting,ibex_horns,1,7,0.777,370.02700000000004,0.5796428571428571,0.14285714285714285,0.5,64,1.079282522201538,0.05072721093893051
