image,stage,step,tau,sigma_tau,resolution,mse_wls,mse_model,mse_alg2
junco,3,3,0.333,0.2668,256,0.003459521336480975,0.003270086832344532,4.543890827335417e-05
lakeside_beach,3,3,0.333,0.2668,256,0.0031375489197671413,0.002934996737167239,4.5351065637078136e-05
sea_anemone,3,3,0.333,0.2668,256,0.006182241719216108,0.006022922694683075,4.542242095340043e-05
shetland_sheepdog,3,3,0.333,0.2668,256,0.004254970699548721,0.0040418049320578575,4.562854883261025e-05
breastplate_armor,3,4,0.444,0.22239999999999996,256,0.0059327008202672005,0.0057574426755309105,7.182189438026398e-05
crane_structure,3,4,0.444,0.22239999999999996,256,0.006767944898456335,0.006866791285574436,7.218447717605159e-05
ibex_horns,3,4,0.444,0.22239999999999996,256,0.010234767571091652,0.010042297653853893,7.199918036349118e-05
junco,3,4,0.444,0.22239999999999996,256,0.002799650654196739,0.0026003974489867687,7.189451571321115e-05
lakeside_beach,3,4,0.444,0.22239999999999996,256,0.0025410938542336226,0.0023260002490133047,7.17555230949074e-05
sea_anemone,3,4,0.444,0.22239999999999996,256,0.005070187617093325,0.0048910826444625854,7.186840230133384e-05
shetland_sheepdog,3,4,0.444,0.22239999999999996,256,0.0034949795808643103,0.0032701208256185055,7.219456892926246e-05
breastplate_armor,3,5,0.555,0.17799999999999994,256,0.0043210675939917564,0.004142323974519968,0.00011993612861260772
crane_structure,3,5,0.555,0.17799999999999994,256,0.003899666480720043,0.0039004888385534286,0.00012054159014951438
ibex_horns,3,5,0.555,0.17799999999999994,256,0.007421684451401234,0.007233842276036739,0.00012023217277601361
junco,3,5,0.555,0.17799999999999994,256,0.002165816957131028,0.0019646096043288708,0.0001200573897222057
lakeside_beach,3,5,0.555,0.17799999999999994,256,0.002016633516177535,0.0018014063825830817,0.00011982527212239802
sea_anemone,3,5,0.555,0.17799999999999994,256,0.003942066803574562,0.003756188554689288,0.0001200138358399272
shetland_sheepdog,3,5,0.555,0.17799999999999994,256,0.0027634110301733017,0.002536834916099906,0.00012055844854330644
breastplate_armor,3,6,0.666,0.13359999999999997,256,0.0029396573081612587,0.0027704271487891674,0.00021485844627022743
crane_structure,3,6,0.666,0.13359999999999997,256,0.0021720421500504017,0.0021084777545183897,0.00021594313147943467
ibex_horns,3,6,0.666,0.13359999999999997,256,0.0048888870514929295,0.00472019799053669,0.00021538871806114912
junco,3,6,0.666,0.13359999999999997,256,0.001574491849169135,0.0013777584536001086,0.00021507564815692604
